ID,Long,Lat,LTA_CHIRPS_mmpa,LTA_PET_mm,Aridity,NDVI,SM10_m3m3,Obs_LTA_recharge_mmpa,LMM,RF,RK_RF,QRF_lower_quant_05,QRF_median,QRF_upper_quant_95
106,25.42,-33.71,429.39,1667.41,0.29,0.54,0.24,45.0,20.72,26.59,26.15,4.5,41.0,114.0
107,24.89,-26.65,454.1,2279.75,0.22,0.31,0.21,9.6,13.22,13.33,11.85,4.5,11.0,48.0
108,18.12,-32.95,290.26,1742.42,0.18,0.35,0.2,26.0,18.74,12.19,16.05,3.5,15.0,55.0
109,29.32,-23.37,379.76,1968.0,0.29,0.35,0.2,5.0,12.9,11.2,10.91,4.0,9.0,54.0
110,-1.53,12.41,721.23,2560.64,0.28,0.28,0.25,221.0,115.46,58.8,81.2,20.0,130.0,221.0
111,-4.76,10.56,1016.04,2190.87,0.49,0.46,0.27,266.0,164.3,97.24,122.29,51.0,147.0,266.0
113,6.48,18.52,90.95,3616.33,0.02,0.11,0.17,1.0,2.02,1.0,1.04,0.2,1.0,3.6
114,14.0,31.0,112.68,2587.76,0.03,0.12,0.2,0.2,0.52,0.98,0.49,0.2,1.0,5.0
115,33.5,16.75,70.78,3300.33,0.02,0.13,0.16,1.0,1.03,0.98,0.9,0.2,1.0,5.0
116,7.6,17.2,128.74,3610.06,0.03,0.13,0.17,7.5,5.77,1.82,2.55,0.36,3.6,10.8
117,-16.31,15.99,259.62,2657.87,0.1,0.22,0.19,10.0,11.09,11.03,12.07,3.0,10.8,44.0
118,39.2,13.68,700.66,2100.06,0.31,0.28,0.25,167.0,90.55,56.36,67.71,16.0,95.0,221.0
119,30.11,-2.52,1046.04,1501.25,0.7,0.58,0.3,235.0,130.04,163.59,193.25,51.0,148.0,491.0
120,19.0,-24.0,189.05,2593.62,0.09,0.23,0.19,3.0,6.17,4.39,4.39,0.62,3.5,25.0
121,17.4,-20.31,391.87,2410.43,0.18,0.36,0.19,20.0,20.31,11.66,13.54,4.0,18.0,55.0
122,17.8,-21.5,367.61,2454.8,0.17,0.32,0.19,28.0,18.68,15.04,21.59,1.4,20.0,55.0
123,18.0,-20.0,379.4,2476.8,0.18,0.36,0.19,55.0,18.92,13.05,15.51,3.2,20.0,55.0
124,16.55,-17.0,572.53,2349.33,0.27,0.47,0.21,15.0,26.52,21.87,20.51,8.0,22.0,54.0
125,17.16,-17.47,552.49,2373.64,0.25,0.45,0.21,33.0,28.43,24.0,26.36,8.0,22.0,55.0
126,9.96,35.55,267.87,2026.32,0.14,0.23,0.23,9.0,7.07,13.88,12.36,3.5,13.0,54.0
127,2.26,6.39,1151.68,1576.79,0.73,0.62,0.32,491.0,169.27,179.12,205.39,63.0,200.0,491.0
128,2.35,6.45,1175.66,1574.67,0.74,0.55,0.32,148.0,161.53,181.76,203.95,87.0,160.0,491.0
129,1.38,10.28,1169.8,2093.93,0.56,0.52,0.29,51.0,82.31,90.36,71.77,32.0,94.0,253.0
130,27.7,-26.0,671.52,1968.56,0.36,0.43,0.28,100.0,50.76,90.94,110.32,30.0,95.0,198.0
131,30.55,-17.71,786.97,1917.81,0.42,0.46,0.23,80.0,69.59,53.8,65.3,19.4,60.0,147.0
132,-17.0,14.72,415.02,2408.75,0.19,0.34,0.2,8.0,14.49,11.71,10.89,1.4,8.0,29.0
133,38.64,9.4,1178.23,1726.29,0.58,0.45,0.28,160.0,152.53,123.5,150.75,32.0,147.0,266.0
316,33.74,-5.96,868.55,1936.64,0.36,0.57,0.24,41.0,42.66,45.63,41.17,17.0,45.0,95.0
