Recharge_mmpa,LTA_CHIRPS_mmpa,LTA_PET_mm,Aridity,NDVI,Landcover_ext,DEM,SM10_m3m3,Lat,Long,ID
26,290.26049567004,1742.42105263158,0.177284210526316,0.347483418881893,30,41,0.20359955728054,-32.95,18.12,108
5,379.755326460064,1968,0.2869625,0.350864931941032,30,1055,0.197506231340495,-23.37,29.32,109
221,721.233186375321,2560.64285714286,0.283914285714286,0.276018661260605,20,306,0.253348726034164,12.41,-1.53,110
266,1016.03730428143,2190.86666666667,0.49214,0.462962611155076,20,315,0.273706687821282,10.56,-4.76,111
0.1,67.153072134485,3480.46666666667,0.014353333333333,0.088102164119482,200,271,0.163636807352304,19,-3,112
1,90.9473740538521,3616.33333333333,0.017926666666667,0.105404694649306,200,374,0.166600243498882,18.52,6.48,113
0.2,112.676015815601,2587.76470588235,0.0262,0.119432913760344,200,289,0.195336246242126,31,14,114
1,70.7840055943261,3300.33333333333,0.023326666666667,0.12944314463271,200,367,0.161408556004365,16.75,33.5,115
7.5,128.743258488305,3610.0625,0.031725,0.133456106483936,150,450,0.170636308689912,17.2,7.6,116
10,259.623409364508,2657.86666666667,0.09864,0.222663938999176,110,12,0.188182125488917,15.99,-16.31,117
167,700.66378691057,2100.0625,0.31106875,0.281560099124908,30,2326,0.250514263908068,13.68,39.2,118
235,1046.0365251833,1501.25,0.6958125,0.581513211131096,30,1437,0.295351242025693,-2.52,30.11,119
3,189.048256580175,2593.625,0.08745625,0.225123216211796,140,1200,0.185736590375503,-24,19,120
20,391.867154046885,2410.42857142857,0.183885714285714,0.359590044617653,140,1627,0.192989238848289,-20.31,17.4,121
28,367.61231717109,2454.8,0.16814,0.319466155767441,140,1572,0.191937779386838,-21.5,17.8,122
55,379.404089474476,2476.8,0.175666666666667,0.361211657524109,140,1299,0.194649336238702,-20,18,123
15,572.531888595484,2349.33333333333,0.268593333333333,0.471207159260909,130,1147,0.205866708109776,-17,16.55,124
33,552.49110547425,2373.64285714286,0.251642857142857,0.447777260433544,60,1159,0.205998003482819,-17.47,17.16,125
9,267.872050327328,2026.31578947368,0.139731578947368,0.233481753617525,150,137,0.231128719719973,35.55,9.96,126
491,1151.68004158879,1576.78571428571,0.732678571428572,0.615908076365789,30,15,0.315585230787595,6.39,2.26,127
148,1175.65655547507,1574.66666666667,0.74186,0.548621929809451,30,2,0.318653956055641,6.45,2.35,128
51,1169.79585847957,2093.92857142857,0.564235714285714,0.516392540931702,130,467,0.292832818627357,10.28,1.38,129
100,671.521796046197,1968.5625,0.35859375,0.434076352552934,30,1532,0.281970425198476,-26,27.7,130
80,786.970523866433,1917.8125,0.41518125,0.46322026103735,130,1374,0.231204189360142,-17.71,30.55,131
8,415.021805116766,2408.75,0.1911625,0.341307463971051,30,56,0.195613715797663,14.72,-17,132
160,1178.23268672583,1726.28571428571,0.583142857142857,0.450360869367917,20,2424,0.281239822506905,9.4,38.64,133
41,868.554540088998,1936.64285714286,0.362592857142857,0.571900606155396,60,1439,0.235979280538029,-5.96,33.74,316
