"Recharge_mmpa","LTA_P_mmpa","LTA_WD_days","LTA_PET_mm","Aridity","NDVI","Aquifer_group","Soil_group","Landcover_NOAA","Landcover_GlobCover","Landcover","DEM","SM10_m3m3","SM10_kgm2","Lat","Long","ID"
0.1,2,1,2188.640048,0.00091398595854,0.098692864,"Sedimentary","CM",12,200,"sparse",418,0.14125206,5.9007344,24,23,40
2,175.48666958,28.128999304,1538.8900266,0.11410115186,0.12670153,"Sedimentary","LP",16,200,"sparse",77,0.20888771,13.281754,33.3,10.5,41
147,1268.7300239,153.10333042,1619.56336,0.78366585929,0.5664258,"Basement","FR",15,20,"cropland",1061,0.3198038,24.146345,1.74,33.58,42
14,483.79333973,40.847998927,2344.8767041,0.2063706143,0.25914663,"Sedimentary","AR",15,140,"cropland",347,0.19543503,14.09378,12.81,10.45,43
147,1164.3266894,106.1809975,1401.1833558,0.83286854365,0.5548976,"Basement","PT",8,130,"shrubland",410,0.30353728,21.316704,9.75,1.75,44
11.8,251.93333803,51.834665393,1533.2933589,0.16495515107,0.15173212,"Sedimentary","CM",16,150,"grassland",915,0.20368409,15.772216,-32.35,22.58,45
48,840.76668064,78.478331524,1479.696689,0.56985020507,0.2700877,"Sedimentary","AR",16,140,"cropland",966,0.25258872,18.206207,-33.16,19.33,46
11.5,422.32333849,61.084665175,1378.1566925,0.30697292285,0.3611035,"Sedimentary","LP",16,140,"grassland",1170,0.19451372,12.70581,-19.6,20.5,47
420,1507.2566956,104.29266445,1045.8400184,1.4406934106,0.6131442,"Basement","AC",9,130,"shrubland",494,0.35219887,25.302229,-4.5,15.3,48
5,173.98000279,16.357666295,1833.6766986,0.095480218724,0.13321277,"Sedimentary","LP",16,200,"grassland",385,0.17396599,12.890726,11.45,43.1,49
0.1,27.420000248,0.5940000097,2126.9833663,0.012882233422,0.1015092,"Sedimentary","LP",12,200,"sparse",282,0.14138947,9.350099,26,29,50
125,979.3633492,149.91432973,1258.2733522,0.7791719926,0.72956586,"Basement","AL",15,30,"cropland",67,0.3369473,27.597595,5.83,-0.33,51
71,968.75001583,109.50833049,1487.9233517,0.65199010237,0.41572976,"Basement","PT",15,20,"cropland",232,0.2604901,17.738697,10.79,-0.86,52
25,162.99000308,26.024332648,2082.2500341,0.078373011198,0.16434787,"Unconsolidated","GL",16,200,"grassland",269,0.18027665,8.553062,16.7,-3.02,53
20,523.68667232,72.516664786,1465.1700251,0.35778859196,0.41531765,"Basement","LP",8,30,"forest",1560,0.20104894,15.96487,-19.7,17.7,54
4.5,184.24666903,32.281999346,1787.0166969,0.10332116688,0.20150518,"Sedimentary","AR",16,140,"grassland",981,0.18268564,10.756692,-25.8,19.8,55
3,136.9966688,27.72066598,1699.4733605,0.080713333607,0.13875988,"Sedimentary","DU",16,140,"sparse",980,0.18977937,12.979957,-29.75,19.58,56
0.62,156.49666952,40.717999047,1470.3200252,0.10668719298,0.22850321,"Basement","LP",16,140,"grassland",434,0.19718567,12.737281,-30.29,17.79,57
54,557.90334271,75.086998175,1441.6933606,0.38952874262,0.3808142,"Sedimentary","LX",16,30,"cropland",1430,0.22788829,16.67668,-26,26.5,58
92,819.46001417,110.01233062,1281.0500247,0.64443236114,0.49900612,"Basement","RG",16,30,"grassland",803,0.2536985,27.393705,-28.27,31.26,59
3.5,214.48333729,61.483665205,1474.6100209,0.14592023612,0.29130358,"Sedimentary","AR",16,140,"grassland",263,0.19635269,14.025481,-32.2,18.48,60
