ID,Lon,Lat,Observations,RF,RF (zeros),RK RF,RK RF (zeros),LMM
1,4.48,8.49,253.0,184.30569458007812,193.55953979492188,165.42184448242188,180.42124938964844,139.1302490234375
2,30.09,-20.27,22.0,21.898990631103516,21.927846908569336,17.128570556640625,17.711318969726562,25.397594451904297
3,32.96,0.46,245.0,151.7301788330078,165.033447265625,165.0846710205078,160.8333740234375,133.1932830810547
4,39.82,13.54,185.0,43.18617630004883,54.231292724609375,56.33850860595703,72.04905700683594,63.007080078125
5,2.3,6.5,120.0,177.21981811523438,178.8812255859375,161.35609436035156,172.43411254882812,125.44784545898438
6,34.45,2.45,30.0,80.99823760986328,79.64080047607422,94.51378631591797,83.61743927001953,55.56416702270508
7,25.69,-25.12,11.0,15.096323013305664,14.30788803100586,11.718819618225098,12.523872375488281,13.554654121398926
8,24.7,-24.53,4.0,7.22788143157959,6.008756637573242,5.624933242797852,4.941455364227295,6.56815767288208
9,29.56,-23.67,48.0,41.58549880981445,39.91291809082031,31.894302368164062,30.88720703125,22.78765106201172
10,25.98,-32.71,4.5,21.283554077148438,19.665464401245117,16.443227767944336,16.003324508666992,17.884885787963867
11,34.7,-4.6,25.0,33.58841323852539,35.08518981933594,34.190696716308594,31.3415470123291,32.94844436645508
12,30.84,13.37,6.0,9.198576927185059,9.050247192382812,12.357754707336426,12.277931213378906,10.07370376586914
13,33.57,-13.6,114.0,88.06157684326172,98.08821868896484,76.89215087890625,83.13566589355469,75.25341796875
14,32.8,26.0,0.1,2.1176862716674805,0.34923645853996277,2.5909979343414307,0.47258809208869934,0.35226020216941833
15,31.3,27.26,1.5,2.1007401943206787,0.6067088842391968,2.4875059127807617,0.7937859296798706,0.5337701439857483
16,2.5,13.5,20.0,24.3922119140625,22.117006301879883,20.568164825439453,19.392702102661133,23.887569427490234
17,29.81,-0.66,104.0,109.85466766357422,107.66059875488281,110.725341796875,100.85636138916016,73.0684814453125
18,26.65,-22.42,4.0,6.911433696746826,7.145790100097656,5.406415939331055,6.0181097984313965,7.7712297439575195
19,35.7,-5.99,16.0,26.222270965576172,25.5795841217041,25.6370849609375,22.55405616760254,24.058223724365234
20,30.75,-20.75,22.0,21.2526798248291,21.265851974487305,16.792314529418945,16.912364959716797,23.554698944091797
21,11.0,13.25,44.0,14.333732604980469,16.323637008666992,12.336777687072754,12.758502960205078,27.161090850830078
22,25.67,-25.15,18.0,15.096323013305664,14.30788803100586,11.718819618225098,12.523872375488281,13.554654121398926
23,29.89,26.22,0.1,1.2114251852035522,0.1548125445842743,1.472362995147705,0.20716999471187592,0.3650619685649872
24,-9.02,30.44,14.0,10.86827564239502,9.596609115600586,12.550579071044922,10.378515243530273,12.837300300598145
25,25.0,-18.88,8.0,18.673240661621094,16.334217071533203,14.246624946594238,13.789806365966797,13.680534362792969
26,29.97,27.74,1.3,1.063117504119873,0.43964868783950806,1.256358027458191,0.5845006108283997,0.2652496099472046
27,32.79,2.05,200.0,158.3904571533203,168.91033935546875,179.51217651367188,168.37144470214844,125.8155517578125
28,21.0,28.25,0.1,1.0839877128601074,0.3222242593765259,1.077163577079773,0.37603381276130676,0.18429985642433167
29,22.52,22.69,0.1,1.3103092908859253,0.14503265917301178,1.5128586292266846,0.18155796825885773,0.0717620924115181
30,28.78,-14.47,80.0,81.84113311767578,80.3165283203125,65.2665786743164,64.52677154541016,64.94625854492188
31,26.69,-29.57,13.0,27.033145904541016,24.27686309814453,20.239320755004883,18.948991775512695,21.494342803955078
32,30.7,-0.08,17.0,81.0528793334961,79.21158599853516,85.10990142822266,74.06790924072266,65.90019226074219
33,24.93,-24.03,5.0,7.034053802490234,6.239907264709473,5.537298202514648,5.271080017089844,5.875546455383301
34,33.8,15.9,0.6,4.474220275878906,5.174610614776611,5.792806625366211,7.441781520843506,4.640235424041748
35,-16.31,15.99,10.8,11.117596626281738,12.633296966552734,10.14163589477539,10.596475601196289,10.525376319885254
36,2.06,13.26,13.0,24.193876266479492,21.83228302001953,20.428226470947266,19.119462966918945,25.68266487121582
37,-0.68,14.19,136.0,29.941797256469727,40.10801696777344,28.26331329345703,37.72873306274414,45.22488021850586
38,25.02,-24.1,11.0,7.218626499176025,7.108621597290039,5.532301425933838,6.064188003540039,6.4374003410339355
39,-1.28,10.2,82.0,86.75968170166016,89.00093078613281,72.1542739868164,80.54986572265625,80.82125854492188
40,23.0,24.0,0.1,1.2102928161621094,0.13287819921970367,1.3538066148757935,0.1667592078447342,0.09932635724544525
41,10.5,33.3,2.0,2.901534080505371,3.1497318744659424,3.2196826934814453,3.582066535949707,3.6074435710906982
42,33.58,1.74,147.0,123.10038757324219,123.14241027832031,139.1863555908203,124.19745635986328,114.90534210205078
43,10.45,12.81,14.0,33.27328872680664,42.29301452636719,27.879261016845703,31.63166046142578,40.44362258911133
44,1.75,9.75,147.0,123.13848876953125,121.8389663696289,104.21753692626953,110.36984252929688,117.9888687133789
45,22.58,-32.35,11.8,12.650774002075195,11.674455642700195,10.000187873840332,8.879931449890137,9.415141105651855
46,19.33,-33.16,48.0,76.54689025878906,80.40435791015625,60.409912109375,66.13189697265625,63.013389587402344
47,20.5,-19.6,11.5,7.754900932312012,8.154905319213867,5.90689754486084,7.337928295135498,11.663054466247559
48,15.3,-4.5,420.0,229.580322265625,257.7700500488281,175.91650390625,227.53524780273438,183.13038635253906
49,43.1,11.45,5.0,2.0648088455200195,1.9147891998291016,2.727294683456421,2.566162586212158,8.597537994384766
