Lon,Lat,Res_05,Res_01
4.48,8.49,0.185247560753312,0.101438354912732
30.09,-20.27,-0.003778352681056,-0.038208501648917
32.96,0.46,0.152957077352333,0.029692564636329
39.82,13.54,0.631461923782143,0.486604664516326
2.3,6.5,-0.209761766255965,-0.134587181669116
34.45,2.45,-0.3236906086773,-0.233243885714502
25.69,-25.12,-0.129371624528929,-0.066204879401092
24.7,-24.53,-0.260017179702315,-0.016465900006674
29.56,-23.67,0.13474047344627,0.263666868490395
25.98,-32.71,-0.61192024179432,-0.465450329796951
34.7,-4.6,-0.141742232694883,-0.137267021898468
30.84,13.37,-0.141660447402501,-0.33754269677665
33.57,-13.6,0.107991955992108,0.004891724302526
31.3,27.26,-0.132501788187426,-0.015866203386471
2.5,13.5,-0.079865694038679,-0.170371299804024
29.81,-0.66,-0.013930526801667,0.03554411590822
26.65,-22.42,-0.23208646232164,-0.266523147954516
35.7,-5.99,-0.124375635825646,-0.16852433293468
30.75,-20.75,0.012078665073041,-0.066514645412841
11,13.25,0.471980967696329,0.378525857278805
25.67,-25.15,0.084508195416152,0.121886935047415
-9.02,30.44,0.013910537183682,0.284043387348375
25,-18.88,-0.357732349576137,-0.243652863636219
29.97,27.74,0.103484875252304,0.102047000694855
32.79,2.05,0.101379272067446,0.020098984644886
28.78,-14.47,0.059504026671736,0.088330670003943
26.69,-29.57,-0.323031031056345,-0.357711479469579
30.7,-0.08,-0.659298603783254,-0.50717918879547
24.93,-24.03,-0.152379031037082,-0.075552634722824
33.8,15.9,-0.495992733383597,-0.472963515489049
-16.31,15.99,0.026856870007017,-0.001785881891595
2.06,13.26,-0.274567270303178,-0.242894424573862
-0.68,14.19,0.646198474996443,0.65676823823365
25.02,-24.1,0.179807954050535,0.155658166820194
-1.28,10.2,-0.024381600990971,-0.078105038766811
10.5,33.3,-0.16752807396101,-0.159990485561537
33.58,1.74,0.044304407172363,-0.022885063272085
10.45,12.81,-0.174145722563251,-0.019742389603308
1.75,9.75,0.090030161757031,0.02602916171412
22.58,-32.35,-0.015349745234172,0.035355305743906
19.33,-33.16,-0.164863268489016,-0.105430484260657
20.5,-19.6,0.195263059766065,0.084207069958206
15.3,-4.5,0.265245595768202,0.191138783052921
43.1,11.45,0.19033104290006,0.325069962227523
-0.33,5.83,0.056111810691726,-0.145245214282442
-0.86,10.79,-0.038484237644004,-0.083193187436998
-3.02,16.7,0.70806038658028,0.502135888202642
17.7,-19.7,0.060523043741199,-0.00014585204181
19.8,-25.8,-0.026200961000913,-0.021155571619939
19.58,-29.75,-0.022616520358263,0.020020920042944
17.79,-30.29,-0.658805554759787,-0.631395619224404
26.5,-26,0.256604156221823,0.083552423476498
31.26,-28.27,0.003324317655082,-0.030595598956506
18.48,-32.2,-0.178594579756044,-0.120496173757231
23.5,-27.44,-0.17269047867407,-0.103115002900344
22.83,-27.24,0.28768988625656,0.325341512566368
19.24,-33.28,0.310835362939977,0.226557477295761
20.53,-33.65,-0.030078595917182,-0.167100581574777
10.34,12.68,0.575526435373324,0.684764057780821
30.7,-18.42,0.152972543236021,0.357763354290264
28.23,-19.83,-0.036124526575362,-0.014064718448323
1.31,6.48,-0.257356398245271,-0.148443026536472
38.84,8.94,0.17983525605645,0.109668566369148
-0.86,10.33,0.171682701160676,0.069145483756488
-0.85,9.43,-0.364386321154813,-0.339716369824691
19.31,-19.9,-0.523004199284627,-0.6284001977602
10.31,6.44,0.527963997122972,0.528144894245901
10.44,5.99,-0.012008983608255,-0.007142764601939
11.55,3.8,-0.300264010441395,-0.411323252627201
14.34,10.6,0.165206834420554,0.076853323838894
5.43,30.47,0.288687201451481,0.289628931820894
-0.54,10.3,0.035678484489753,-0.049421446201359
39.46,13.51,-0.136931645054306,-0.067032124829851
-3.61,14.35,-0.026567140769059,-0.061364123160791
18.5,-24.2,0.539895953526522,0.382956544988192
-17.29,14.77,0.164610454506187,0.169693045223297
16.79,-17.47,0.27524890958902,0.173307964889655
-7.8,31.43,0.326835444120179,0.279399223413288
18.6,-33.52,0.022467796612195,0.186299118695145
18.91,-34.13,0.267396971625619,0.195523328437995
-3.01,16.75,-0.13357712132447,-0.151446129756248
30.3,-23.15,-0.336571701038702,-0.238146896896108
11.03,37.04,-0.346072038669254,-0.284372528198145
-14.81,17.54,0.251778687775365,0.222977149948602
6.77,31.5,-0.454742275931238,-0.351120449262872
8.5,33.5,-0.120025613098324,0.104958944807583
-7.47,11.42,0.165874562680207,0.068679702454396
39.17,-6.92,-0.164403207207434,-0.130178514025375
26.72,-22.4,0.245034792398022,0.11331721191916
