ID,Lon,Lat,Observations,RF,RF (zeros),RK RF,RK RF (zeros),LMM
1,4.48,8.49,253.0,183.8223114013672,193.55953979492188,166.65309143066406,180.42124938964844,139.1302490234375
2,30.09,-20.27,22.0,21.844558715820312,21.927846908569336,17.23690414428711,17.711318969726562,25.397594451904297
3,32.96,0.46,245.0,155.9046630859375,165.033447265625,170.17591857910156,160.8333740234375,133.1932830810547
4,39.82,13.54,185.0,43.265010833740234,54.231292724609375,56.00121307373047,72.04905700683594,63.007080078125
5,2.3,6.5,120.0,178.28370666503906,178.8812255859375,162.20706176757812,172.43411254882812,125.44784545898438
6,34.45,2.45,30.0,79.52545928955078,79.64080047607422,91.48774719238281,83.61743927001953,55.56416702270508
7,25.69,-25.12,11.0,15.174802780151367,14.30788803100586,11.739815711975098,12.523872375488281,13.554654121398926
8,24.7,-24.53,4.0,7.339023113250732,6.008756637573242,5.8205413818359375,4.941455364227295,6.56815767288208
9,29.56,-23.67,48.0,40.63513946533203,39.91291809082031,31.871183395385742,30.88720703125,22.78765106201172
10,25.98,-32.71,4.5,21.16649627685547,19.665464401245117,16.7249813079834,16.003324508666992,17.884885787963867
11,34.7,-4.6,25.0,33.676673889160156,35.08518981933594,34.864280700683594,31.3415470123291,32.94844436645508
12,30.84,13.37,6.0,9.037424087524414,9.050247192382812,12.295879364013672,12.277931213378906,10.07370376586914
13,33.57,-13.6,114.0,89.5650634765625,98.08821868896484,77.44153594970703,83.13566589355469,75.25341796875
15,31.3,27.26,1.5,2.0486457347869873,0.6067088842391968,2.4988746643066406,0.7937859296798706,0.5337701439857483
16,2.5,13.5,20.0,25.17649269104004,22.117006301879883,20.56640625,19.392702102661133,23.887569427490234
17,29.81,-0.66,104.0,109.83827209472656,107.66059875488281,110.5489273071289,100.85636138916016,73.0684814453125
18,26.65,-22.42,4.0,6.992568016052246,7.145790100097656,5.333982467651367,6.0181097984313965,7.7712297439575195
19,35.7,-5.99,16.0,25.33670425415039,25.5795841217041,25.6165771484375,22.55405616760254,24.058223724365234
20,30.75,-20.75,22.0,21.33660888671875,21.265851974487305,16.86827278137207,16.912364959716797,23.554698944091797
21,11.0,13.25,44.0,14.842634201049805,16.323637008666992,11.75371265411377,12.758502960205078,27.161090850830078
22,25.67,-25.15,18.0,15.174802780151367,14.30788803100586,11.739815711975098,12.523872375488281,13.554654121398926
24,-9.02,30.44,14.0,11.567657470703125,9.596609115600586,12.668931007385254,10.378515243530273,12.837300300598145
25,25.0,-18.88,8.0,19.1063289642334,16.334217071533203,14.699411392211914,13.789806365966797,13.680534362792969
26,29.97,27.74,1.3,1.0478894710540771,0.43964868783950806,1.2396386861801147,0.5845006108283997,0.2652496099472046
27,32.79,2.05,200.0,159.87327575683594,168.91033935546875,179.6038360595703,168.37144470214844,125.8155517578125
30,28.78,-14.47,80.0,83.40766906738281,80.3165283203125,64.25304412841797,64.52677154541016,64.94625854492188
31,26.69,-29.57,13.0,26.781646728515625,24.27686309814453,21.502201080322266,18.948991775512695,21.494342803955078
32,30.7,-0.08,17.0,82.05782318115234,79.21158599853516,84.59744262695312,74.06790924072266,65.90019226074219
33,24.93,-24.03,5.0,7.153900623321533,6.239907264709473,5.6858296394348145,5.271080017089844,5.875546455383301
34,33.8,15.9,0.6,4.380385398864746,5.174610614776611,5.712573051452637,7.441781520843506,4.640235424041748
35,-16.31,15.99,10.8,11.209463119506836,12.633296966552734,10.57833480834961,10.596475601196289,10.525376319885254
36,2.06,13.26,13.0,24.87466049194336,21.83228302001953,20.44502067565918,19.119462966918945,25.68266487121582
37,-0.68,14.19,136.0,29.79481315612793,40.10801696777344,27.71378517150879,37.72873306274414,45.22488021850586
38,25.02,-24.1,11.0,7.3583664894104,7.108621597290039,5.681519985198975,6.064188003540039,6.4374003410339355
39,-1.28,10.2,82.0,87.16270446777344,89.00093078613281,74.26699829101562,80.54986572265625,80.82125854492188
41,10.5,33.3,2.0,3.159222364425659,3.1497318744659424,3.230280637741089,3.582066535949707,3.6074435710906982
42,33.58,1.74,147.0,124.40070343017578,123.14241027832031,136.3716583251953,124.19745635986328,114.90534210205078
43,10.45,12.81,14.0,34.46125030517578,42.29301452636719,27.987232208251953,31.63166046142578,40.44362258911133
44,1.75,9.75,147.0,122.473876953125,121.8389663696289,104.82023620605469,110.36984252929688,117.9888687133789
45,22.58,-32.35,11.8,12.815089225769043,11.674455642700195,10.153010368347168,8.879931449890137,9.415141105651855
46,19.33,-33.16,48.0,76.53583526611328,80.40435791015625,58.55481719970703,66.13189697265625,63.013389587402344
47,20.5,-19.6,11.5,7.441619396209717,8.154905319213867,5.824190139770508,7.337928295135498,11.663054466247559
48,15.3,-4.5,420.0,229.10028076171875,257.7700500488281,180.80923461914062,227.53524780273438,183.13038635253906
49,43.1,11.45,5.0,2.131108522415161,1.9147891998291016,2.627020835876465,2.566162586212158,8.597537994384766
51,-0.33,5.83,125.0,115.5897216796875,115.71272277832031,104.65950775146484,108.11370849609375,95.17832946777344
52,-0.86,10.79,71.0,82.10304260253906,77.25580596923828,69.41341400146484,72.3211669921875,80.61161041259766
53,-3.02,16.7,25.0,4.811168193817139,6.690937519073486,4.164060115814209,5.882012367248535,7.3513994216918945
54,17.7,-19.7,20.0,18.193239212036133,18.35115623474121,14.368240356445312,15.538311958312988,24.92485809326172
55,19.8,-25.8,4.5,4.790268898010254,4.8296027183532715,3.912977695465088,4.230740070343018,5.428418159484863
56,19.58,-29.75,3.0,3.085794448852539,3.181086301803589,2.5378997325897217,2.6797537803649902,3.208807945251465
