ID,Lon,Lat,Observations,RF,RF (zeros),RK RF,LMM
1,4.48,8.49,253.0,183.05755615234375,184.8045654296875,202.7582244873047,139.1302490234375
2,30.09,-20.27,22.0,21.60430145263672,22.0587158203125,21.47871208190918,25.397594451904297
3,32.96,0.46,245.0,154.44561767578125,170.8576202392578,169.13880920410156,133.1932830810547
4,39.82,13.54,185.0,45.03811264038086,54.9896240234375,68.00249481201172,63.007080078125
5,2.3,6.5,120.0,177.38999938964844,178.95034790039062,189.36349487304688,125.44784545898438
6,34.45,2.45,30.0,81.30689239501953,81.53044891357422,65.81905364990234,55.56416702270508
7,25.69,-25.12,11.0,15.253812789916992,14.589997291564941,15.034738540649414,13.554654121398926
8,24.7,-24.53,4.0,7.257485389709473,5.951157569885254,6.0854597091674805,6.56815767288208
9,29.56,-23.67,48.0,41.545936584472656,39.98602294921875,42.018646240234375,22.78765106201172
10,25.98,-32.71,4.5,21.27747344970703,19.257253646850586,14.404640197753906,17.884885787963867
11,34.7,-4.6,25.0,33.5778694152832,34.53275680541992,30.769378662109375,32.94844436645508
12,30.84,13.37,6.0,8.810976028442383,9.532336235046387,8.10361385345459,10.07370376586914
13,33.57,-13.6,114.0,89.30168151855469,99.2375259399414,94.6722412109375,75.25341796875
14,32.8,26.0,0.1,2.151803493499756,0.35635292530059814,2.1251707077026367,0.35226020216941833
15,31.3,27.26,1.5,2.1394169330596924,0.6515453457832336,1.9060707092285156,0.5337701439857483
16,2.5,13.5,20.0,24.845884323120117,22.235736846923828,22.924158096313477,23.887569427490234
17,29.81,-0.66,104.0,111.9382095336914,110.61544036865234,106.93400573730469,73.0684814453125
18,26.65,-22.42,4.0,7.0087666511535645,7.1851806640625,7.1552910804748535,7.7712297439575195
19,35.7,-5.99,16.0,25.81317138671875,25.61553382873535,23.92537498474121,24.058223724365234
20,30.75,-20.75,22.0,21.08804702758789,21.757352828979492,21.064422607421875,23.554698944091797
21,11.0,13.25,44.0,14.545417785644531,17.000429153442383,18.474945068359375,27.161090850830078
22,25.67,-25.15,18.0,15.253812789916992,14.589997291564941,15.034738540649414,13.554654121398926
23,29.89,26.22,0.1,1.2411178350448608,0.15778256952762604,1.2281479835510254,0.3650619685649872
24,-9.02,30.44,14.0,11.270872116088867,9.594988822937012,11.2535400390625,12.837300300598145
25,25.0,-18.88,8.0,18.653104782104492,16.475482940673828,15.541495323181152,13.680534362792969
26,29.97,27.74,1.3,1.0405614376068115,0.4637416899204254,1.097771406173706,0.2652496099472046
27,32.79,2.05,200.0,158.6626434326172,165.38861083984375,166.77565002441406,125.8155517578125
28,21.0,28.25,0.1,1.0482434034347534,0.3255869746208191,1.0361872911453247,0.18429985642433167
29,22.52,22.69,0.1,1.3524519205093384,0.14336125552654266,1.3368970155715942,0.0717620924115181
30,28.78,-14.47,80.0,82.04688262939453,79.7711410522461,83.8506088256836,64.94625854492188
31,26.69,-29.57,13.0,27.261188507080078,24.853986740112305,21.285253524780273,21.494342803955078
32,30.7,-0.08,17.0,83.75303649902344,79.83697509765625,56.855037689208984,65.90019226074219
33,24.93,-24.03,5.0,7.0539655685424805,6.173010349273682,5.839056491851807,5.875546455383301
34,33.8,15.9,0.6,4.487288951873779,5.280325889587402,3.268723487854004,4.640235424041748
35,-16.31,15.99,10.8,10.811863899230957,12.7110595703125,10.652491569519043,10.525376319885254
36,2.06,13.26,13.0,24.56196403503418,22.04114532470703,20.495628356933594,25.68266487121582
37,-0.68,14.19,136.0,29.398080825805664,39.13277053833008,41.27629089355469,45.22488021850586
38,25.02,-24.1,11.0,7.253295421600342,7.027551651000977,6.259522438049316,6.4374003410339355
39,-1.28,10.2,82.0,85.9293441772461,89.54838562011719,86.94617462158203,80.82125854492188
40,23.0,24.0,0.1,1.2433850765228271,0.13107427954673767,1.2290844917297363,0.09932635724544525
41,10.5,33.3,2.0,3.1101181507110596,2.9986724853515625,2.8109560012817383,3.6074435710906982
42,33.58,1.74,147.0,122.36429595947266,123.11547088623047,121.41422271728516,114.90534210205078
43,10.45,12.81,14.0,34.30323028564453,41.56612777709961,42.02461624145508,40.44362258911133
44,1.75,9.75,147.0,121.53060913085938,121.69071960449219,120.74369812011719,117.9888687133789
45,22.58,-32.35,11.8,12.8463773727417,11.351962089538574,12.601211547851562,9.415141105651855
46,19.33,-33.16,48.0,76.25035095214844,81.07278442382812,81.66635131835938,63.013389587402344
47,20.5,-19.6,11.5,7.710495471954346,8.496768951416016,8.269903182983398,11.663054466247559
48,15.3,-4.5,420.0,233.86949157714844,263.80877685546875,271.27740478515625,183.13038635253906
49,43.1,11.45,5.0,2.1132988929748535,1.881587266921997,2.335937976837158,8.597537994384766
50,29.0,26.0,0.1,1.2232394218444824,0.19594694674015045,1.2094916105270386,0.2405489683151245
51,-0.33,5.83,125.0,114.85735321044922,115.40586853027344,117.75122833251953,95.17832946777344
52,-0.86,10.79,71.0,81.6504898071289,78.55170440673828,80.37010955810547,80.61161041259766
53,-3.02,16.7,25.0,4.904561519622803,6.866675853729248,6.105513572692871,7.3513994216918945
54,17.7,-19.7,20.0,18.110071182250977,18.003463745117188,23.904577255249023,24.92485809326172
55,19.8,-25.8,4.5,4.834715366363525,4.925105571746826,4.733445167541504,5.428418159484863
56,19.58,-29.75,3.0,3.195768356323242,3.107327938079834,3.111023187637329,3.208807945251465
57,17.79,-30.29,0.62,2.7360739707946777,2.41709303855896,1.8657606840133667,3.1521387100219727
58,26.5,-26.0,54.0,32.25371170043945,33.2448844909668,36.726165771484375,28.81509017944336
